account_name,account_id,spend
SuperPoker-SuperAnt-BF-20180124-01,act_968239276691231,27.98
OperaMini-360-BF-20180111-01,act_958136881034804,11544.99
Kwai-OneSmile-BF-20180109-01,act_956454514536374,127.62
Kwai-OneSmile-BF-20180109-02,act_956454517869707,47.51
OperaMini-360-BF-20171214-01,act_940674489447710,6435.48
OperaBrowser-360-BF-20171214-02,act_941081606073665,507.94
OperaBrowser-360-BF-20171214-01,act_941081609406998,599.03
OperaMini-360-BF-20180129-01,act_881549872026839,485.19
OperaMini-360-BF-20170816-01,act_870823559766137,4609.02
Kwai-OneSmile-MH-20170719-01,act_1402266089871462,133.61
StarMaker-Mobi-MH-20170713-02,act_853914018123758,54.12
Kwai-OneSmile-BF-20170331-03,act_783764878472006,9178.35
Kwai-OneSmile-BF-20170331-02,act_783764881805339,642.33
Kwai-OneSmile-BF-20170331-01,act_783764875138673,6587.73
360移动安全有限公司-亿栗1.14(3),act_1227059294037094,11878.76
